"GBAC","country","host","collection_date","serotype","Topotype","color"
"AY593804/CHE/Unknown/1965/C","CHE","Unknown",1965,"C","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#E4E485"
"AY593805/DEU/Unknown/1960/C","DEU","Unknown",1960,"C","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#FFFFC8"
"AY593806/BRA/Unknown/1971/C","BRA","Unknown",1971,"C","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#AEAE00"
"AY593807/BRA/Unknown/1955/C","BRA","Unknown",1955,"C","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#C9C942"
"AY593808/ARG/Unknown/1966/C","ARG","Unknown",1966,"C","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#DBDB6F"
"AY593809/ARG/Unknown/1969/C","ARG","Unknown",1969,"C","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#B7B716"
"AY593810/GBR/Unknown/1970/C","GBR","Unknown",1970,"C","V-East-Africa-EA","#A9A4C9"
"KM268897/KEN/cattle/2004/C","KEN","cattle",2004,"C","AFRICA","#9FE4D8"
"MH053308/ETH/unknown/1971/C","ETH","unknown",1971,"C","AFRICA","#5DAEA2"
"MH053309/KEN/cattle/1967/C","KEN","cattle",1967,"C","AFRICA","#7EC9BD"
"MH053310/UGA/cattle/1970/C","UGA","cattle",1970,"C","AFRICA","#3D9487"
"OQ356339/GBR/cow/1987/C","GBR","cow",1987,"C","V-East-Africa-EA","#D1CDED"
"OQ383265/NLD/cow/2000/C","NLD","cow",2000,"C","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#F6F6B1"
"OQ383266/GBR/Unknown/2002/C","GBR","Unknown",2002,"C","V-East-Africa-EA","#817BA6"
"OQ383267/BRA/cow/1963/C","BRA","cow",1963,"C","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#C0C02C"
"OQ427393/Unknown/cow/2009/C","Unknown","cow",2009,"C","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#D2D258"
"X74812/Unknown/Unknown/1965/C","Unknown","Unknown",1965,"C","EUROPE-SOUTH-AMERICA-EURO-SA-SOUTH","#EDED9B"
