Serotype,Region1,Region2,Median Height
A,P1,Lpro,3.4114
A,P1,P1,3.3796
A,P1,P2,3.1135
A,P1,P3,3.4292
Asia1,P1,Lpro,5.4188
Asia1,P1,P1,1.1826
Asia1,P1,P2,1.5042
Asia1,P1,P3,2.1839
C,P1,Lpro,48.6026
C,P1,P1,48.6026
C,P1,P2,38.2418
C,P1,P3,40.311
O,P1,Lpro,0.7479
O,P1,P1,1.0184
O,P1,P2,0.7482
O,P1,P3,0.7421
SAT1,P1,Lpro,4.6297
SAT1,P1,P1,26.2123
SAT1,P1,P2,0.7132
SAT1,P1,P3,3.2424
SAT2,P1,Lpro,11.2968
SAT2,P1,P1,17.6364
SAT2,P1,P2,11.6878
SAT2,P1,P3,12.0787
SAT3,P1,Lpro,4.9874
SAT3,P1,P1,27.0288
SAT3,P1,P2,4.9874
SAT3,P1,P3,4.9874
